iter	Passed	Remaining
264	605	1679
265	607	1675
266	608	1671
267	610	1668
268	612	1664
269	613	1659
270	615	1655
271	616	1650
272	618	1646
273	619	1642
274	621	1638
275	623	1634
276	625	1631
277	627	1628
278	628	1624
279	630	1621
280	632	1617
281	633	1613
282	635	1610
283	637	1606
284	638	1602
285	640	1598
286	642	1595
287	643	1591
288	645	1588
289	646	1583
290	648	1579
291	649	1575
292	651	1571
293	652	1566
294	654	1564
295	655	1559
296	657	1555
297	658	1551
298	660	1547
299	661	1543
300	662	1539
301	664	1535
302	665	1531
303	667	1527
304	668	1523
305	670	1520
306	671	1516
307	673	1512
308	674	1508
309	676	1505
310	677	1501
311	679	1497
312	680	1493
313	681	1489
314	683	1485
315	684	1482
316	686	1478
317	687	1474
318	688	1470
319	690	1467
320	691	1463
321	693	1459
322	694	1455
323	695	1452
324	697	1448
325	699	1445
326	700	1441
327	702	1438
328	703	1434
329	704	1430
330	706	1427
331	707	1423
332	708	1419
333	710	1416
334	712	1413
335	713	1410
336	715	1407
337	716	1403
338	718	1400
339	719	1396
340	721	1393
341	722	1389
342	723	1386
343	725	1383
344	727	1380
345	729	1377
346	730	1374
347	731	1371
348	733	1367
349	734	1363
350	735	1360
351	737	1356
352	738	1353
353	740	1350
354	741	1347
355	742	1343
356	744	1340
357	745	1337
358	747	1334
359	748	1330
360	749	1327
361	751	1323
362	752	1321
363	754	1318
364	756	1315
365	757	1313
366	759	1309
367	760	1306
368	762	1303
369	763	1300
370	765	1297
371	766	1294
372	768	1291
373	769	1288
374	771	1285
375	772	1282
376	774	1279
377	775	1276
378	776	1272
379	778	1269
380	779	1266
381	781	1263
382	782	1260
383	784	1257
384	785	1254
385	787	1252
386	788	1249
387	790	1246
388	791	1243
389	792	1240
390	794	1237
391	795	1234
392	797	1231
393	798	1228
394	800	1225
395	801	1222
396	802	1219
397	804	1216
398	805	1213
399	807	1211
400	808	1208
401	810	1205
402	811	1202
403	813	1199
404	814	1196
405	815	1193
406	817	1190
407	818	1188
408	820	1185
409	821	1182
410	822	1179
411	824	1176
412	825	1173
413	826	1170
414	828	1167
415	829	1164
416	831	1162
417	832	1159
418	834	1156
419	835	1154
420	837	1151
421	838	1148
422	840	1145
423	841	1143
424	842	1140
425	844	1137
426	845	1134
427	847	1132
428	848	1129
429	849	1126
430	851	1123
431	852	1121
432	854	1118
433	855	1115
434	856	1112
435	858	1110
436	859	1107
437	861	1104
438	862	1102
439	863	1099
440	865	1096
441	866	1094
442	868	1091
443	869	1088
444	870	1086
445	872	1084
446	874	1081
447	876	1079
448	877	1076
449	879	1074
450	880	1071
451	881	1069
452	883	1066
453	884	1063
454	886	1061
